SPR400_DPL;SPR400_Effort;KistlerKBeam_8396A050CTTA00_5506138_X;KistlerKBeam_8396A050CTTA00_5506138_Y;KistlerKBeam_8396A050CTTA00_5506138_Z;Laser_Point_uEpsilon_OptNCDT_1401_1;Laser_Point_uEpsilon_OptNCDT_1401_2;Laser_Point_uEpsilon_OptNCDT_1401_3;DMMC_6300kN_ForgeAddicctt
0;2,877448189;-0,82583664;0,720365552;-0,158014173;60;260;260;1006,107286
0;3,120468734;-0,874638196;0,7115874;-0,109716748;60;260;260;1007,068867
0;2,772358225;-0,812930443;0,738719871;-0,133060504;60;260;260;1010,805919
0;-1,615146914;-0,836726243;0,71039038;-0,160429045;60;260;260;1007,505949
0;2,063000997;-0,841969386;0,717572504;-0,139902639;60;260;260;1007,582438
0;1,347075691;-0,838339518;0,740714906;-0,148354688;60;260;260;1011,297636
0;0,368425572;-0,860118725;0,704405276;-0,119376233;60;260;260;1011,614521
0;-4,393461526;-0,840356111;0,713981442;-0,135877854;60;260;260;1006,959596
0;-6,895914675;-0,800024246;0,73752285;-0,179748014;60;260;260;1007,997666
0;-0,636496951;-0,846405891;0,746301003;-0,116961362;60;260;260;1006,883107
0;-3,506765432;-0,813333761;0,710789387;-0,162441437;60;260;260;1006,435098
0;-0,321227149;-0,79881429;0,743108947;-0,148354688;60;260;260;1008,401967
0;-1,713668718;-0,852858989;0,740315899;-0,134670418;60;260;260;1005,702985
0;-4,426302121;-0,835919606;0,715178463;-0,142719989;60;260;260;1009,658578
0;-5,799038933;-0,805670707;0,706001304;-0,144329903;60;260;260;1009,254277
0;-2,521547486;-0,865361867;0,736724836;-0,122596061;60;260;260;1012,193655
0;-1,693964357;-0,841969386;0,743507954;-0,138292725;60;260;260;1009,276132
0;5,557242609;-0,8076873;0,713582435;-0,176528186;60;260;260;1013,056892
0;-3,303153729;-0,842372705;0,702809249;-0,156404259;60;260;260;1010,062879
0;-0,268682181;-0,847615847;0,725153635;-0,161234002;60;260;260;1006,380463
0;-1,982961646;-0,833096376;0,737123843;-0,153989388;60;260;260;1011,95326
0;-3,894284472;-0,864958549;0,743906961;-0,115753926;60;260;260;1007,210919
0;-0,879517419;-0,837129562;0,749493058;-0,180150493;60;260;260;1007,800979
0;-2,849953476;-0,834306331;0,711188394;-0,167673658;60;260;260;1009,352621
0;-2,817112877;-0,831483101;0,737123843;-0,143524946;60;260;260;1009,593016
0;-1,418103303;-0,822206772;0,759468232;-0,182565364;60;260;260;1007,604293
0;2,94969754;-0,829063189;0,73233576;-0,163648873;60;260;260;1008,839049
0;2,522769566;-0,847212528;0,723158601;-0,107301876;60;260;260;1006,959596
0;-2,73172732;-0,812527124;0,754680148;-0,180552971;60;260;260;1006,817545
0;2,036728508;-0,805670707;0,704405276;-0,15881913;60;260;260;1008,008593
0;-1,877871724;-0,856085539;0,734330795;-0,131048111;60;260;260;1012,947621
0;1,202577011;-0,830273145;0,729542712;-0,154391867;60;260;260;1007,735417
0;0,079428237;-0,868588417;0,733133774;-0,127023326;60;260;260;1008,183426
0;-1,424671424;-0,83188642;0,748296037;-0,143524946;60;260;260;1007,648001
0;-0,833540574;-0,837532881;0,7115874;-0,152379474;60;260;260;1007,899323
0;5,984170705;-0,846002572;0,684055925;-0,14231751;60;260;260;1006,795691
0;1,806844231;-0,830273145;0,720365552;-0,144329903;60;260;260;1005,746694
0;-0,209569092;-0,835919606;0,729143705;-0,160429045;60;260;260;1007,702636
0;-7,565862699;-0,854875583;0,728345691;-0,142719989;60;260;260;1005,364247
0;2,483360831;-0,848825803;0,748695044;-0,151574517;60;260;260;1008,817195
0;-4,025646857;-0,820593497;0,697223152;-0,14513486;60;260;260;1006,01987
0;3,856098523;-0,842372705;0,757872204;-0,129035718;60;260;260;1007,276481
0;1,248553863;-0,81978686;0,723158601;-0,162038959;60;260;260;1007,079794
0;-3,28344937;-0,837532881;0,694829111;-0,149562124;60;260;260;1009,221496
0;-3,335994326;-0,835919606;0,714779456;-0,14795221;60;260;260;1008,718852
0;-8,30805999;-0,81978686;0,717971511;-0,160831523;60;260;260;1007,658928
0;1,537551227;-0,855278901;0,734330795;-0,158014173;60;260;260;1010,35791
0;1,123759549;-0,864958549;0,727946684;-0,11736384;60;260;260;1006,817545
0;-3,322858087;-0,814140399;0,713183428;-0,166466223;60;260;260;1006,511587
0;-0,373772116;-0,859715406;0,73233576;-0,14513486;60;260;260;1008,806268
0;-2,620069284;-0,836726243;0,724355622;-0,146342296;60;260;260;1007,331116
0;6,043283828;-0,832693057;0,729542712;-0,159624088;60;260;260;1010,926117
0;-1,339285858;-0,837936199;0,714779456;-0,147549731;60;260;260;1011,330418
0;-5,161931432;-0,827449914;0,733133774;-0,149159646;60;260;260;1009,145007
0;-6,042059313;-0,823013409;0,7518871;-0,153989388;60;260;260;1010,54367
0;-8,938599259;-0,830273145;0,712385414;-0,112534098;60;260;260;1006,402317
0;6,7198007;-0,812930443;0,744305968;-0,157209216;60;260;260;1010,54367
0;-2,909066553;-0,845195935;0,736325829;-0,18900502;60;260;260;1011,330418
0;-5,12252272;-0,822610091;0,752685114;-0,139500161;60;260;260;1010,991679
0;2,207499688;-0,839146155;0,748695044;-0,12581589;60;260;260;1010,35791
0;-4,991160345;-0,820190179;0,731537746;-0,137890246;60;260;260;1008,65329
0;1,649209301;-0,839549474;0,735128809;-0,146342296;60;260;260;1008,915539
0;3,232126824;-0,817366948;0,724355622;-0,158416652;60;260;260;1010,631086
0;-2,436161928;-0,824223365;0,713183428;-0,136682811;60;260;260;1008,248989
0;-0,741586884;-0,86455523;0,731138739;-0,135475375;60;260;260;1003,331815
0;-0,557679501;-0,840356111;0,697622159;-0,160429045;60;260;260;1008,325478
0;1,386484422;-0,84963244;0,718370518;-0,139902639;60;260;260;1010,401618
0;-2,015802247;-0,845195935;0,73233576;-0,129035718;60;260;260;1009,964536
0;-0,531407018;-0,803654114;0,724355622;-0,166466223;60;260;260;1007,254627
0;-3,217768175;-0,843985979;0,720764559;-0,107301876;60;260;260;1009,538381
0;-2,173437129;-0,833903013;0,722759594;-0,153184431;60;260;260;1008,773487
0;-2,606933044;-0,829466508;0,725153635;-0,156001781;60;260;260;1009,363548
0;4,401252775;-0,832289738;0,726350656;-0,089995298;60;260;260;1006,883107
0;2,575314546;-0,846405891;0,731138739;-0,17532075;60;260;260;1009,647651
0;5,156587027;-0,820593497;0,705602297;-0,126620847;60;260;260;1007,757271
0;1,550687471;-0,847212528;0,722360587;-0,130645632;60;260;260;1006,555295
0;-3,789194564;-0,790747917;0,717173497;-0,148354688;60;260;260;1008,839049
0;-3,979670022;-0,838339518;0,702011235;-0,139902639;60;260;260;1006,303973
0;0,217358782;-0,856085539;0,765054329;-0,146744774;60;260;260;1007,604293
0;-6,409873936;-0,797201015;0,738320864;-0,159221609;60;260;260;1010,65294
0;-0,728450642;-0,832693057;0,720764559;-0,132658025;60;260;260;1011,516177
0;2,351998381;-0,847615847;0,743906961;-0,12018119;60;260;260;1007,440387
0;0,394698058;-0,796797696;0,744305968;-0,159221609;60;260;260;1006,566223
0;-0,675905676;-0,868991735;0,705602297;-0,172905879;60;260;260;1009,166861
0;2,489928953;-0,825433321;0,733931788;-0,129438197;60;260;260;1009,090372
0;0,585173578;-0,826239958;0,711986407;-0,172905879;60;260;260;1009,920828
0;-2,771136039;-0,842776023;0,722759594;-0,154391867;60;260;260;1010,980752
0;1,714890522;-0,803250795;0,717971511;-0,155196824;60;260;260;1009,549308
0;-4,8006849;-0,809300575;0,713183428;-0,118168797;60;260;260;1008,609581
0;-2,534683726;-0,849229122;0,751488093;-0,108509312;60;260;260;1011,177439
0;7,764132664;-0,81978686;0,724355622;-0,155196824;60;260;260;1006,522514
0;-1,188219087;-0,84075943;0,709991373;-0,115753926;60;260;260;1005,222195
0;-5,424656178;-0,835112969;0,751488093;-0,149964603;60;260;260;1009,997317
0;-5,628267853;-0,82583664;0,729143705;-0,173710836;60;260;260;1007,975812
0;-8,741555739;-0,844792616;0,720764559;-0,143927424;60;260;260;1011,02446
0;1,01210148;-0,842372705;0,755877169;-0,118168797;60;260;260;1007,309262
0;1,485006251;-0,819383541;0,714779456;-0,153989388;60;260;260;1009,898974
0;-2,836817236;-0,852052352;0,733931788;-0,150367081;60;260;260;1011,647302
0;-1,891007964;-0,831079782;0,718769525;-0,157209216;60;260;260;1010,346983
0;-1,050288555;-0,81978686;0,709991373;-0,154391867;60;260;260;1009,997317
0;1,590096203;-0,864958549;0,723158601;-0,156001781;60;260;260;1006,402317
0;-1,358990219;-0,787521367;0,725153635;-0,147147253;60;260;260;1008,686071
0;-3,434516118;-0,837532881;0,7115874;-0,117766319;60;260;260;1008,139718
0;-1,470648266;-0,851649033;0,731936753;-0,149964603;60;260;260;1010,237712
0;-4,925479158;-0,814947036;0,749892065;-0,160429045;60;260;260;1010,008244
0;4,854453319;-0,84963244;0,720365552;-0,182162885;60;260;260;1010,008244
0;4,460365889;-0,838339518;0,735128809;-0,149964603;60;260;260;1007,396679
0;-2,469002527;-0,832693057;0,735527815;-0,143122467;60;260;260;1010,696648
0;-4,334348455;-0,849229122;0,728744698;-0,186590149;60;260;260;1009,090372
0;-2,935339032;-0,825433321;0,761862273;-0,14231751;60;260;260;1006,424171
0;-5,109386483;-0,831483101;0,710789387;-0,124205976;60;260;260;1006,599004
0;-3,447652357;-0,854472264;0,713183428;-0,134670418;60;260;260;1007,418533
0;-3,217768175;-0,837129562;0,772236454;-0,152781952;60;260;260;1008,806268
0;1,655777423;-0,805267388;0,735527815;-0,175723229;60;260;260;1006,904961
0;-5,36554311;-0,841566067;0,724355622;-0,137085289;60;260;260;1004,413593
0;-1,602010673;-0,818980223;0,733532781;-0,148757167;60;260;260;1005,83411
0;-2,757999799;-0,812930443;0,711986407;-0,151574517;60;260;260;1006,675493
0;-7,237456808;-0,867781779;0,717173497;-0,156806738;60;260;260;1008,325478
0;-3,749785848;-0,835919606;0,749094051;-0,192224848;60;260;260;1003,408304
0;-1,155378484;-0,796394378;0,698021166;-0,178540578;60;260;260;1006,096359
0;0,913579655;-0,850842396;0,729941719;-0,150367081;60;260;260;1007,374824
0;9,984159494;-0,802444158;0,717173497;-0,165661266;60;260;260;1008,030448
0;0,394698058;-0,84358266;0,753882134;-0,159221609;60;260;260;1005,484444
0;-4,846661732;-0,882704569;0,71677449;-0,15076956;60;260;260;1005,888745
0;-7,395091636;-0,832289738;0,722759594;-0,159624088;60;260;260;1010,248639
0;-2,166869009;-0,846405891;0,709991373;-0,144732382;60;260;260;1009,461891
0;-2,902498433;-0,840356111;0,74789703;-0,137890246;60;260;260;1008,019521
0;-4,294939741;-0,829869826;0,714779456;-0,143122467;60;260;260;1008,729779
0;-0,794131849;-0,864958549;0,722759594;-0,122596061;60;260;260;1007,527803
0;1,590096203;-0,833499694;0,740315899;-0,12299854;60;260;260;1009,155934
0;0,657422914;-0,824223365;0,706001304;-0,144732382;60;260;260;1009,42911
0;0,388129936;-0,869798372;0,713183428;-0,115351448;60;260;260;1007,363897
