SPR400_DPL;SPR400_Effort;KistlerKBeam_8396A050CTTA00_5506138_X;KistlerKBeam_8396A050CTTA00_5506138_Y;KistlerKBeam_8396A050CTTA00_5506138_Z;Laser_Point_uEpsilon_OptNCDT_1401_1;Laser_Point_uEpsilon_OptNCDT_1401_2;Laser_Point_uEpsilon_OptNCDT_1401_3;DMMC_6300kN_ForgeAddicctt
0;-0,175294648;-0,493905351;-1,056409974;-0,171698443;260;260;260;6,873676665
0;3,435539927;-0,501165089;-1,07316823;-0,170893486;260;260;260;1,274009511
0;3,107282238;-0,497938539;-1,074764254;-0,142719989;260;260;260;3,126039503
0;6,06160145;-0,50076177;-1,063193078;-0,162843916;260;260;260;2,69026774
0;0,15296304;-0,509231464;-1,036858676;-0,119376233;260;260;260;2,189130213
0;-5,427417629;-0,512458013;-1,081946364;-0,12581589;260;260;260;0,674823337
0;-0,175294648;-0,525767532;-1,083143382;-0,136280332;260;260;260;2,232707389
0;-0,503552335;-0,46526972;-1,062794072;-0,14795221;260;260;260;4,128314558
0;0,809478416;-0,50721487;-1,072370218;-0,152781952;260;260;260;5,108801025
0;-0,831810023;-0,519717751;-1,075562266;-0,153184431;260;260;260;3,954005853
0;1,137736104;-0,512458013;-1,067981151;-0,169686051;260;260;260;0,402465985
0;-2,473098458;-0,503585001;-1,057606993;-0,108911791;260;260;260;4,269940381
0;6,718116832;-0,528590763;-1,055611962;-0,133060504;260;260;260;4,858232261
0;-1,488325397;-0,5487567;-1,079153321;-0,11736384;260;260;260;4,74928932
0;-4,114386888;-0,496325264;-1,056010968;-0,139902639;260;260;260;3,158722386
0;0,15296304;-0,48785557;-1,077557297;-0,164856308;260;260;260;3,420185443
0;2,450766859;-0,496728582;-1,046035816;-0,141110075;260;260;260;3,256771032
0;1,794251482;-0,496728582;-1,031272591;-0,13145059;260;260;260;0,500514631
0;2,12250917;-0,509231464;-1,042843767;-0,105691962;260;260;260;1,709781274
0;-4,770902259;-0,514071288;-1,058405005;-0,14795221;260;260;260;1,535472568
0;-4,770902259;-0,550773293;-1,053217926;-0,148354688;260;260;260;-1,002897951
0;-2,144840771;-0,474142732;-1,0711732;-0,148354688;260;260;260;-0,142248719
0;-0,175294648;-0,483822382;-1,069976181;-0,155599302;260;260;260;1,437423922
0;-5,099159944;-0,537463775;-1,046434822;-0,185382713;260;260;260;5,326686906
0;4,748570687;-0,499955132;-1,062395066;-0,170088529;260;260;260;3,823274324
0;1,465993793;-0,498745176;-1,043242773;-0,148757167;260;260;260;3,736119971
0;3,435539927;-0,500358451;-1,071572206;-0,164856308;260;260;260;1,611732627
0;-0,503552335;-0,525767532;-1,061198047;-0,143927424;260;260;260;1,69888698
0;-0,175294648;-0,526977488;-1,068779163;-0,139500161;260;260;260;7,015302488
0;3,435539927;-0,516087882;-1,054414944;-0,151976995;260;260;260;5,217743966
0;-0,175294648;-0,501568407;-1,042045755;-0,171698443;260;260;260;4,956280908
0;4,748570687;-0,512458013;-1,039252712;-0,166868701;260;260;260;0,424254573
0;1,794251482;-0,518104476;-1,014514335;-0,151172038;260;260;260;2,363438918
0;1,794251482;-0,537463775;-1,051222895;-0,131048111;260;260;260;3,27855962
0;0,809478416;-0,515281245;-1,075562266;-0,156001781;260;260;260;3,583599854
0;-1,816583084;-0,5358505;-1,061198047;-0,124608454;260;260;260;4,226363205
0;0,809478416;-0,480192514;-1,081547358;-0,140305118;260;260;260;3,126039503
0;-1,488325397;-0,503585001;-1,052818919;-0,162843916;260;260;260;6,241807609
0;-5,755675314;-0,54553015;-1,060400035;-0,177333143;260;260;260;3,954005853
0;-1,488325397;-0,529397401;-1,049227865;-0,141512553;260;260;260;3,387502561
0;2,779024549;-0,504794957;-1,060799041;-0,158014173;260;260;260;8,398877835
0;-0,175294648;-0,522944301;-1,071971212;-0,13145059;260;260;260;5,381158377
0;-3,12961383;-0,509231464;-1,113866851;-0,12863324;260;260;260;5,81693014
0;-2,144840771;-0,504794957;-1,073567236;-0,144732382;260;260;260;3,627177031
0;1,137736104;-0,513264651;-1,046833828;-0,14231751;260;260;260;0,097425751
0;-3,786129202;-0,50721487;-1,080749346;-0,154794345;260;260;260;4,509614851
0;-2,473098458;-0,531413994;-1,028878554;-0,151976995;260;260;260;1,633521215
0;-0,831810023;-0,540287006;-1,040848737;-0,147147253;260;260;260;2,058398684
0;2,12250917;-0,499551814;-1,054414944;-0,162843916;260;260;260;2,003927214
0;-2,801356144;-0,519717751;-1,042843767;-0,151574517;260;260;260;6,263596197
0;6,718116832;-0,539883688;-1,076360279;-0,16445383;260;260;260;5,04343526
0;3,107282238;-0,491888757;-1,06199606;-0,157611695;260;260;260;3,376608267
0;-0,503552335;-0,479385876;-1,067582145;-0,176930664;260;260;260;3,583599854
0;1,465993793;-0,506811551;-1,055212956;-0,179748014;260;260;260;3,8668515
0;-2,473098458;-0,491485439;-1,059203017;-0,160026566;260;260;260;0,293523044
0;-0,175294648;-0,499148495;-1,041247743;-0,134670418;260;260;260;5,446524141
0;5,405086068;-0,515684563;-1,056010968;-0,146342296;260;260;260;6,11107608
0;4,420312997;-0,515281245;-1,083941394;-0,168076137;260;260;260;4,880020849
0;0,481220728;-0,488662207;-1,046434822;-0,159624088;260;260;260;5,185061083
0;-1,816583084;-0,497131901;-1,060799041;-0,150367081;260;260;260;3,093356621
0;-3,12961383;-0,5487567;-1,083542388;-0,178540578;260;260;260;5,620832846
0;2,12250917;-0,474142732;-1,053616932;-0,152781952;260;260;260;3,191405268
0;0,15296304;-0,539883688;-1,060799041;-0,145939817;260;260;260;6,121970374
0;2,12250917;-0,53907705;-1,047232834;-0,132658025;260;260;260;0,958074982
0;-3,12961383;-0,531817313;-1,079951333;-0,150367081;260;260;260;4,248151793
0;2,450766859;-0,520927707;-1,068380157;-0,165661266;260;260;260;4,008477323
0;1,137736104;-0,474546051;-1,069976181;-0,180150493;260;260;260;0,914497806
